-0.5,1,1,1,1,1,1,1,1,1
0,0.93290222,0.980014409,0.94188045,0.927415825,0.908458722,0.954767866,0.977378562,0.909914659,0.939867698
0.5,0.996929037,1.055798366,1.019684467,0.983004632,0.970242476,1.037815347,1.083788528,0.974635623,1.010665613
1,1.052772602,1.122253283,1.09365796,1.057410998,1.028337845,1.10208403,1.165759462,1.025230713,1.073802876
1.5,1.108769174,1.187644523,1.16826739,1.13328667,1.083139025,1.154622257,1.237415456,1.06034655,1.133172521
2,1.163944328,1.250389178,1.242995865,1.212769966,1.133029823,1.211990908,1.309304148,1.119064733,1.188544907
2.5,1.21458709,1.305175782,1.299782725,1.274588624,1.175223672,1.255065033,1.371808301,1.15469169,1.236504341
3,1.267257149,1.357232142,1.362298364,1.343668634,1.215207185,1.295192848,1.411734274,1.18921106,1.286836402
3.5,1.310139147,1.39670364,1.402147075,1.401113937,1.2456799,1.322632603,1.444714968,1.221424927,1.327123155
4,1.360802095,1.450403486,1.460072527,1.452763187,1.280963616,1.369533079,1.485954674,1.252466017,1.38067123
4.5,1.345269391,1.49355411,1.465763965,1.498633924,1.305061821,1.369154075,1.559047012,1.285296034,1.363606882
5,1.384389834,1.533312469,1.513347365,1.535593371,1.33790235,1.403822221,1.592632352,1.313319072,1.403069416
5.5,1.409175433,1.55643508,1.533688526,1.569064111,1.355733088,1.424352134,1.617671475,1.323453535,1.42601096
6,1.448247228,1.592545678,1.577626617,1.610776859,1.387254724,1.457187617,1.651817156,1.346612746,1.462855747
6.5,1.481378321,1.615096286,1.595717583,1.641487061,1.413474103,1.482816433,1.669188465,1.36136704,1.489754227
7,1.506474848,1.638740418,1.620567553,1.68290251,1.432593265,1.504798246,1.692675577,1.375035464,1.515251339
7.5,1.534126297,1.666007236,1.644902472,1.724201127,1.453663152,1.531894266,1.709760184,1.389469698,1.541510744
8,1.543558566,1.672980781,1.654654352,1.752598434,1.458772062,1.544108552,1.712244984,1.397122601,1.552628852
